Название товара,Описание,Характеристики,Цена без скидки,Цена со скидкой,Рейтинг,Отзывы,Заказы,Магазин,Ссылка на магазин,Ссылка на товар
Ботинки,,Ширина упаковки: 25 см; Высота каблука: 5 см; Высота подошвы: 2.5 см; Высота упаковки: 12 см; Длина упаковки: 31.5 см; Высота голенища: 8 см; Материал подошвы обуви: ЭВА (этиленвинилацетат); ТНВЭД: 6403511500; Вид застежки: шнуровка; Материал подкладки обуви: флис; Материал стельки: флис; Полнота обуви (EUR): G (7); Страна производства: Китай,2631.0р,1999.0р,4,48,Более 300,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/37408177/detail.aspx
Слипоны,,Ширина упаковки: 18.5 см; Высота подошвы: 2 см; Высота упаковки: 11.7 см; Длина упаковки: 32.5 см; Материал стельки: ткань; Страна производства: Китай; ТНВЭД: 6403993800; Материал подошвы обуви: ЭВА; Полнота обуви (EUR): G (7); Материал подкладки обуви: ткань,2887.0р,1068.0р,5,127,Более 1400,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/61235366/detail.aspx
Слипоны мужские,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 22 см; Высота упаковки: 12 см; Длина упаковки: 35 см; Страна производства: Китай; ТНВЭД: 6403993800; Материал подкладки обуви: текстиль; Полнота обуви (EUR): G (7); Материал подошвы обуви: филон; Материал стельки: текстиль,2630.0р,1499.0р,5,439,Более 3400,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/17986844/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 21.5 см; Высота упаковки: 11.7 см; Длина упаковки: 33 см; Полнота обуви (EUR): G (7); Материал подошвы обуви: ЭВА; Материал стельки: ткань; ТНВЭД: 6404110000; Вид застежки: шнуровка; Материал подкладки обуви: ткань; Страна производства: Китай,2499.0р,1324.0р,4,85,Более 700,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/54778018/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 25 см; Высота каблука: 4 см; Высота подошвы: 2 см; Высота упаковки: 14 см; Длина упаковки: 36 см; Материал подошвы обуви: ЭВА (этиленвинилацетат); Материал стельки: текстиль; ТНВЭД: 6403993300; Материал подкладки обуви: синтетическая ткань; Полнота обуви (EUR): G (7); Страна производства: Китай; Вид застежки: шнуровка,2888.0р,2599.0р,5,29,Более 200,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/34783422/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 23 см; Высота упаковки: 12 см; Длина упаковки: 34 см; Страна производства: Китай; ТНВЭД: 6404199000; Материал подошвы обуви: ТПР; ЭВА; Материал стельки: ткань; Полнота обуви (EUR): G (7); Вид застежки: шнуровка; Материал подкладки обуви: ткань,4080.0р,1999.0р,5,6,Более 60,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/110728271/detail.aspx
Ватрушка,"Тюбинг Timejump - надувная круглая камера в чехле с усиленным дном и ручками. Чехол для камеры сделан из прочного материала, а участки, испытывающие максимальные нагрузки, дополнительно усилены капроновой лентой. Специальное покрытие минимизирует трение с поверхностью при скольжении, что позволяет развивать большую скорость на склонах с маленьким уклоном.Диаметр тюбинга 90 см., максимальная нагрузка 120 кг.Обязательно качайте камеру под размер тюбинга!",Вес с упаковкой (кг): 2.5 кг; Ширина упаковки: 35 см; Высота упаковки: 10 см; Длина упаковки: 35 см; Страна производства: Китай; ТНВЭД: 8716800000; Материал изделия: поливинилхлорид; Резина.; Возрастные ограничения: 6+,2776.0р,1943.0р,5,10,Более 100,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/48814224/detail.aspx
Ботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 25 см; Высота каблука: 4.5 см; Высота подошвы: 2.5 см; Высота упаковки: 12.5 см; Длина упаковки: 31.5 см; Высота голенища: 7 см; ТНВЭД: 6403511500; Материал подкладки обуви: искусственный мех; Материал подошвы обуви: ТПР; Материал стельки: искусственный мех; Полнота обуви (EUR): G (7); Вид застежки: шнуровка; Страна производства: Китай,4642.0р,2135.0р,5,9,Более 90,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/110729410/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 23 см; Высота упаковки: 12 см; Длина упаковки: 34 см; Страна производства: Китай; Вид застежки: шнуровка; Материал подкладки обуви: ткань; Материал подошвы обуви: ЭВА; Материал стельки: ткань; Полнота обуви (EUR): G (7); ТНВЭД: 6404110000,3446.0р,1654.0р,4,23,Более 200,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/110728133/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 11.5 см; Высота упаковки: 30.5 см; Длина упаковки: 30 см; Материал стельки: ткань; ТНВЭД: 6404110000; Полнота обуви (EUR): G (7); Страна производства: Китай; Вид застежки: шнуровка; Материал подкладки обуви: ткань; Материал подошвы обуви: ЭВА,2790.0р,1674.0р,5,119,Более 500,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/59688077/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 11.5 см; Высота упаковки: 30.5 см; Длина упаковки: 30 см; Вид застежки: шнуровка; Материал подкладки обуви: ткань; Материал подошвы обуви: ЭВА; Полнота обуви (EUR): G (7); Страна производства: Китай; Материал стельки: ткань; ТНВЭД: 6404110000,2724.0р,1253.0р,5,119,Более 500,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/54778014/detail.aspx
Полуботинки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 21.1 см; Высота каблука: 5 см; Высота подошвы: 2.5 см; Высота упаковки: 21.1 см; Длина упаковки: 30 см; Материал подкладки обуви: ткань; Материал подошвы обуви: ЭВА; Страна производства: Китай; Вид застежки: шнуровка; Материал стельки: ткань; ТНВЭД: 6403993300; Полнота обуви (EUR): G (7),2702.0р,1999.0р,5,9,Более 70,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/87420382/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 12 см; Высота упаковки: 23 см; Длина упаковки: 32 см; Материал подкладки обуви: ткань; Материал подошвы обуви: ЭВА; Материал стельки: ткань; Полнота обуви (EUR): G (7); Страна производства: Китай; ТНВЭД: 6404110000; Вид застежки: шнуровка,2674.0р,1230.0р,5,236,Более 800,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/61245016/detail.aspx
Кроссовки,,Ширина упаковки: 22 см; Высота упаковки: 22 см; Длина упаковки: 22 см; Материал подошвы обуви: филон; Полнота обуви (EUR): G (7); Страна производства: Китай; ТНВЭД: 6404110000; Материал стельки: текстиль,3388.0р,1660.0р,5,107,Более 2000,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/12800856/detail.aspx
Кроссовки,"Не спешите писать негативный отзыв при следующих ситуациях, независящих от нас: 1. Доставка задержалась или качество обслуживания в пункте выдачи не оправдало Ваших ожиданий. В данном случае напишите в техподдержку для оперативного решения. 2. Товар пришел поврежденным. Вы вправе отказаться от покупки и/или оформить возврат по браку. Товар спишут и утилизируют за наши средства, несмотря на вину доставщика/курьера, а Вам вернут денежные средства. 3. Пришел абсолютно другой товар. Пересортица товаров может происходить на складе. К сожалению, мы никак не можем повлиять на работу отдельных сотрудников марткеплейса, как бы этого не хотели. В данном случае необходимо оформить возврат, написать в техподдержку. С уважением, Ваш kari.",Ширина упаковки: 23 см; Высота упаковки: 13 см; Длина упаковки: 24 см; Материал подкладки обуви: ткань; Материал стельки: ткань; Вид застежки: шнуровка; Материал подошвы обуви: ЭВА; ТНВЭД: 6404110000; Страна производства: Китай; Полнота обуви (EUR): G (7),3060.0р,1499.0р,5,52,Более 500,КАРИ,https://www.wildberries.ru/seller/8475,https://www.wildberries.ru/catalog/59848617/detail.aspx
